,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
108,1,1012,10,1,1.0,24.0,0.0,7.0,0.0,2.0,0.0,26.0,108082.4190253602,5275.2246619322095,6493.237952461651,8936.595186854536
109,2,0921,09,2,0.0,31.0,0.0,47.0,5.0,4.0,3.0,109.0,170884.58942681673,14053.801688502725,14116.806093990479,13160.498662442753
110,2,0225,02,2,0.0,32.0,0.0,15.0,1.0,2.0,1.0,31.0,113864.06571270211,2069.0252675021247,1968.9746226843997,4197.961993889988
111,1,0814,08,1,0.0,32.0,0.0,30.0,10.0,1.0,2.0,64.0,256187.3231025837,9690.564314066138,14094.445792533932,19853.60187658468
112,2,0222,02,2,0.0,37.0,1.0,22.0,6.0,1.0,2.0,82.0,221639.61365383194,14804.874945427651,10004.491962161163,5616.30234743031
113,2,0221,02,2,0.0,26.0,0.0,14.0,3.0,3.0,2.0,41.0,130491.6721001762,4211.570921109768,6909.9229305787985,3920.5192134563003
114,2,0922,09,2,1.0,39.0,0.0,50.0,8.0,1.0,1.0,124.0,207633.7800553833,17617.604923768416,11984.23127020775,14889.179099686668
115,2,0223,02,2,0.0,24.0,0.0,21.0,3.0,0.0,1.0,30.0,132102.43357271372,7269.59561183214,5686.009942900968,1509.8336867269547
116,3,0935,09,3,1.0,34.0,0.0,11.0,0.0,0.0,0.0,20.0,238071.69165497442,3300.1770344071806,2212.4374193803883,6689.818964538653
117,3,0933,09,3,0.0,31.0,0.0,19.0,5.0,0.0,0.0,48.0,175526.12748674466,7088.921921438715,6985.066543026006,11342.885678103186
118,3,0931,09,3,0.0,25.0,0.0,30.0,1.0,1.0,0.0,75.0,173448.32590802203,11939.542735053463,9968.858888200528,13908.910377523775
119,2,0923,09,2,0.0,45.0,0.0,52.0,5.0,2.0,2.0,74.0,221142.56155433974,15377.240553783857,8385.74074828789,10906.070770723867
120,3,1234,12,3,3.0,39.0,1.0,70.0,7.0,4.0,0.0,108.0,141334.85615138547,14882.674179116764,5621.189336110865,5164.7378752972545
